student_id,topic_id,mean hesitation,std hesitation,mean conf,std conf,grammar point,words,unique word (%),% rare words,have transcript,IELTS speaking score,,
101,5,0.2024336154,0.3525524531,0.9497955072,0.133604326,85,383,44,25,,60,,
101,2,0.1557860699,0.2721182299,0.9622528174,0.1156595908,60,169,64,28,,60,,
101,2,0.145539727,0.2205865918,0.968309062,0.1038575964,96,354,44,21,,60,,
111,14,0.1792225578,0.4309939744,0.949489061,0.1326938223,100,522,41,15,,50,,
111,12,0.1344477741,0.2878531966,0.9624575519,0.2545503667,99,375,46,18,,50,,
111,3,0.1294462142,0.2545503667,0.9490719776,0.1284666582,99,710,43,20,,50,,
111,18,0.1666095784,0.3312195528,0.9316240326,0.1540331163,88,314,52,15,,50,,
111,13,0.1967870457,0.3233609301,0.9292128939,0.1514930815,53,178,67,21,,50,,
113,14,1.229916865,1.436373618,0.7005925385,0.2333894419,99,214,58,20,,55,,
113,10,1.48075683,2.021902838,0.7413211761,0.2319554507,100,391,46,22,,55,,
113,9,1.322113752,1.420018476,0.7217020985,0.2298470201,100,520,45,23,,55,,
113,3,1.351764816,1.506528312,0.6968853249,0.231584141,94,226,45,21,,55,,
114,14,0.1336097221,0.2792868911,0.9794063668,0.08459451054,99,217,57,23,,50,,
114,10,0.1278513914,0.2466008433,0.954831082,0.1242597264,69,174,63,18,,50,,
114,10,0.1143046637,0.200461576,0.9686299386,0.1074912127,68,63,70,18,,50,,
115,14,0.1621479721,0.2933940415,0.9111243299,0.1662956061,92,240,53,19,,50,,
115,14,0.1284228757,0.2636719108,0.8997460618,0.1773061564,72,146,62,19,,50,,
115,11,0.143534712,0.2792691496,0.8930311135,0.1799299207,94,145,66,13,,50,,
115,11,0.08276727211,0.1879006818,0.9190579865,0.1498995481,92,145,77,20,,50,,
115,9,0.1698587286,0.3014001032,0.8818209953,0.1822462826,60,160,64,20,,50,,
115,11,0.1655885746,0.3864384256,0.9343972741,0.1357298586,76,135,65,11,,50,,
117,14,0.09556626667,0.2568063203,0.9470485588,0.5811029411,72,130,61,14,,40,,
117,10,0.1807407375,0.3629044742,0.9619885802,0.1186586778,89,89,63,16,,40,,
117,10,0.3097144667,0.5811029411,0.9513564918,0.11371848,64,66,58,16,,40,,
117,10,0.039587,0.1117658855,0.9567920625,0.1123634786,68,62,71,20,,40,,
117,3,0.1756002162,0.3590959355,0.9536515982,0.1244942875,98,94,71,13,,40,,
117,3,0.3329757846,0.5884283646,0.9281873485,0.1542851083,95,47,74,23,,40,,
118,14,0.1153094689,0.209030148,0.9523600225,0.132373322,95,322,74,23,,55,,
118,10,0.1034012486,0.2362266195,0.9670974598,0.1118332576,82,173,55,26,,55,,
119,14,0.1890689037,0.4710988901,0.9460408173,,100,422,45,19,,55,,
119,9,0.1603807197,0.3438960901,0.943694836,0.1374149565,87,283,55,17,,55,,
119,3,0.9477168549,0.4032974641,0.9477168549,0.136219529,97,295,52,18,,55,,
119,8,0.1948874641,0.4196857778,0.9494445179,0.1332737818,95,259,56,22,,55,,
119,2,0.2197255369,0.4812027814,0.9379241646,0.1429268664,97,296,55,19,,55,,
120,9,0.3730433071,0.6826047496,0.839838,0.2029222545,67,150,75,22,,50,,
121,7,0.1110204864,0.2817867608,0.9646083523,0.104976486,100,807,44,26,,55,,
121,3,0.1093920488,0.2263880364,0.9708599954,0.09782190369,96,421,49,23,,55,,
121,12,0.1029298484,0.2598198271,0.9719040881,0.09656603956,99,852,44,22,,55,,
122,12,0.7625871688,0.820077753,0.7638883894,0.226850965,94,231,62,13,,60,,
122,3,0.9909945262,1.214603258,0.7487111442,0.2424541036,100,518,50,20,,60,,
122,5,0.4025082727,0.5831839453,0.7745586045,0.2208688959,86,211,60,26,,60,,
122,5,0.4997725556,0.7669366824,0.8037537819,0.2286174678,97,279,57,26,,60,,
123,11,0.09486082,0.2526786014,0.9685203137,0.0884985539,83,49,73,14,,60,,
123,11,0.09902208108,0.2232099028,0.9766073684,0.06582257172,97,51,82,24,,60,,
123,11,0.0715845814,0.1752543676,0.9218698636,0.1858894051,96,36,86,19,,60,,
123,11,,,,,98,41,88,14,,60,,
123,11,,,,,79,43,70,23,,60,,
123,11,,,,,83,53,75,30,,60,,
123,11,,,,,89,43,81,17,,60,,
123,11,,,,,34,47,81,11,,60,,
123,11,,,,,,28,,,,60,too short,
123,11,,,,,74,66,70,20,,60,,
123,7,0.1007447097,0.2153474415,0.9634364134,0.10810249,92,374,48,21,,60,,
123,16,0.1215968303,0.2412881985,0.953914006,0.1238987737,94,321,45,25,,60,,
123,3,0.1139516295,0.2396850539,0.9625442255,0.1169202193,94,270,54,24,,60,,
123,5,0.1250117105,0.2875865368,0.9528411074,0.1214143895,89,382,45,24,,60,,
123,13,0.1211161317,0.2245445695,0.9680138607,0.0988565208,99,256,54,27,,60,,
123,1,0.1443757695,0.2839358809,0.9554723981,0.1210186228,100,640,41,21,,60,,
135,2,0.1704354295,0.3783551985,0.9599108089,0.1177711343,98,180,63,25,,55,,
135,2,0.169213,0.2795003759,0.9487336168,0.1252364656,90,63,78,14,,55,,
135,2,0.1600961961,0.2722850859,0.9160123495,0.1657178749,57,100,62,15,,55,,
135,2,0.1766316545,0.287618813,0.953839045,0.1228879117,80,96,65,18,,55,,
135,2,0.1848956018,0.3597686004,0.9265072719,0.1648982475,81,69,70,21,,55,,
137,14,0.07191084375,0.1681610586,0.9751171628,0.08786830995,50,97,64,26,,55,,
137,14,0.06098568063,0.14059204,0.9738094063,0.1071654925,54,45,78,14,,55,,
137,13,0.06248137405,0.1569513052,0.9818752045,0.07676969023,83,49,78,21,,55,,
137,17,0.1311156951,0.2604332212,0.9807446727,0.08103440637,79,173,65,14,,55,,
137,2,0.1154697676,0.2324098961,0.9766829301,0.07986174269,96,193,60,30,,55,,
